orphan,tweet_time,genuine_tweet,is_follower,has_mention,favorite_count,original_is_question,rt_count,resonance_Factor,reply_is_answer,hours_to_answer,tweet_weekday,auto_tweet,id_str,follower_local,screen_name,created_at,has_url,has_media,is_reply,has_hashtag,tweet_month
NA,10,1,NA,0,0,NA,0,0.0,NA,NA,6,0,409271531810734080,NA,hsubib,Sat Dec 07 10:41:51 +0000 2013,1,0,0,1,12
NA,12,1,NA,0,0,NA,0,0.0,NA,NA,5,0,408932183210881024,NA,hsubib,Fri Dec 06 12:13:24 +0000 2013,1,0,0,0,12
NA,12,1,NA,0,0,NA,0,0.0,NA,NA,2,0,407845515288510465,NA,hsubib,Tue Dec 03 12:15:22 +0000 2013,1,0,0,0,12
NA,14,1,NA,0,0,NA,0,0.0,NA,NA,1,0,407514172969062401,NA,hsubib,Mon Dec 02 14:18:44 +0000 2013,1,0,0,0,12
NA,10,1,NA,0,0,NA,0,0.0,NA,NA,5,0,406366324470738944,NA,hsubib,Fri Nov 29 10:17:36 +0000 2013,1,0,0,1,11
NA,13,1,NA,0,0,NA,0,0.0,NA,NA,4,0,406052475175571456,NA,hsubib,Thu Nov 28 13:30:28 +0000 2013,1,0,0,1,11
NA,10,1,NA,0,0,NA,0,0.0,NA,NA,3,0,405637550485680128,NA,hsubib,Wed Nov 27 10:01:43 +0000 2013,1,0,0,0,11
NA,09,1,NA,0,0,NA,0,0.0,NA,NA,5,0,403819796342378496,NA,hsubib,Fri Nov 22 09:38:36 +0000 2013,1,0,0,0,11
NA,09,1,NA,0,0,NA,0,0.0,NA,NA,2,0,402735598751870976,NA,hsubib,Tue Nov 19 09:50:23 +0000 2013,1,0,0,1,11
NA,14,1,NA,0,0,NA,0,0.0,NA,NA,1,0,402449033735593984,NA,hsubib,Mon Nov 18 14:51:41 +0000 2013,1,0,0,0,11
NA,09,1,NA,0,0,NA,0,0.0,NA,NA,1,0,402363509607890944,NA,hsubib,Mon Nov 18 09:11:50 +0000 2013,1,0,0,0,11
NA,14,1,NA,0,1,NA,0,0.5,NA,NA,5,0,401357352026116096,NA,hsubib,Fri Nov 15 14:33:44 +0000 2013,1,0,0,1,11
NA,09,1,NA,0,0,NA,0,0.0,NA,NA,5,0,401287343505567745,NA,hsubib,Fri Nov 15 09:55:32 +0000 2013,1,0,0,1,11
NA,14,1,NA,0,0,NA,0,0.0,NA,NA,4,0,400999787643666432,NA,hsubib,Thu Nov 14 14:52:54 +0000 2013,1,0,0,1,11
NA,11,1,NA,0,0,NA,0,0.0,NA,NA,4,0,400955844272979968,NA,hsubib,Thu Nov 14 11:58:17 +0000 2013,1,0,0,1,11
NA,13,1,NA,0,0,NA,0,0.0,NA,NA,3,0,400614040197537792,NA,hsubib,Wed Nov 13 13:20:04 +0000 2013,1,0,0,0,11
NA,08,1,NA,0,0,NA,0,0.0,NA,NA,3,0,400542743413264385,NA,hsubib,Wed Nov 13 08:36:46 +0000 2013,1,0,0,0,11
NA,13,1,NA,0,0,NA,0,0.0,NA,NA,1,0,399894448059850752,NA,hsubib,Mon Nov 11 13:40:40 +0000 2013,1,0,0,0,11
NA,09,1,NA,0,0,NA,0,0.0,NA,NA,6,0,399099050118496256,NA,hsubib,Sat Nov 09 09:00:03 +0000 2013,1,0,0,1,11
NA,10,1,NA,0,0,NA,0,0.0,NA,NA,5,0,398755836698193920,NA,hsubib,Fri Nov 08 10:16:14 +0000 2013,1,0,0,1,11
NA,15,1,NA,0,0,NA,1,1.0,NA,NA,4,0,398465257238040576,NA,hsubib,Thu Nov 07 15:01:35 +0000 2013,1,0,0,1,11
NA,09,1,NA,0,1,NA,0,0.5,NA,NA,3,0,398018212077391872,NA,hsubib,Wed Nov 06 09:25:11 +0000 2013,1,0,0,1,11
NA,10,1,NA,0,0,NA,1,1.0,NA,NA,2,0,397678894293078017,NA,hsubib,Tue Nov 05 10:56:51 +0000 2013,1,0,0,1,11
NA,10,1,NA,0,0,NA,0,0.0,NA,NA,2,0,397665095863394305,NA,hsubib,Tue Nov 05 10:02:01 +0000 2013,1,0,0,1,11
NA,08,1,NA,0,0,NA,0,0.0,NA,NA,1,0,397279180225662976,NA,hsubib,Mon Nov 04 08:28:32 +0000 2013,1,0,0,1,11
NA,09,0,NA,NA,NA,NA,NA,NA,NA,NA,6,0,396566599760482304,NA,hsubib,Sat Nov 02 09:16:59 +0000 2013,NA,NA,0,NA,11
NA,12,1,NA,0,1,NA,0,0.5,NA,NA,5,0,396255825993269248,NA,hsubib,Fri Nov 01 12:42:05 +0000 2013,1,0,0,0,11
NA,10,1,NA,0,0,NA,0,0.0,NA,NA,5,0,396227031660126208,NA,hsubib,Fri Nov 01 10:47:40 +0000 2013,1,0,0,1,11
NA,09,1,NA,0,0,NA,1,1.0,NA,NA,5,0,396204471811715072,NA,hsubib,Fri Nov 01 09:18:01 +0000 2013,1,0,0,0,11
NA,07,1,NA,0,0,NA,0,0.0,NA,NA,5,0,396178533996720128,NA,hsubib,Fri Nov 01 07:34:57 +0000 2013,1,0,0,0,11
NA,08,1,NA,0,0,NA,0,0.0,NA,NA,4,0,395830883417989120,NA,hsubib,Thu Oct 31 08:33:31 +0000 2013,1,0,0,1,10
NA,11,1,NA,0,0,NA,0,0.0,NA,NA,3,0,395510644591427584,NA,hsubib,Wed Oct 30 11:21:00 +0000 2013,1,0,0,1,10
NA,07,1,NA,0,0,NA,0,0.0,NA,NA,3,0,395453611011887104,NA,hsubib,Wed Oct 30 07:34:22 +0000 2013,1,0,0,0,10
NA,10,1,NA,1,1,NA,0,0.5,NA,NA,2,0,395142923534086144,NA,hsubib,Tue Oct 29 10:59:49 +0000 2013,1,0,0,1,10
NA,08,1,NA,0,0,NA,0,0.0,NA,NA,2,0,395102725920141312,NA,hsubib,Tue Oct 29 08:20:05 +0000 2013,1,0,0,0,10
NA,15,1,NA,0,0,NA,0,0.0,NA,NA,1,0,394847136317050880,NA,hsubib,Mon Oct 28 15:24:27 +0000 2013,1,0,0,0,10
NA,08,1,NA,0,0,NA,0,0.0,NA,NA,1,0,394740677503746048,NA,hsubib,Mon Oct 28 08:21:26 +0000 2013,1,0,0,1,10
NA,07,1,NA,0,0,NA,0,0.0,NA,NA,1,0,394731036862464000,NA,hsubib,Mon Oct 28 07:43:07 +0000 2013,1,0,0,1,10
NA,07,1,NA,0,0,NA,0,0.0,NA,NA,5,0,393643452790886400,NA,hsubib,Fri Oct 25 07:41:27 +0000 2013,1,0,0,1,10
NA,11,1,NA,0,0,NA,0,0.0,NA,NA,4,0,393337652759379968,NA,hsubib,Thu Oct 24 11:26:18 +0000 2013,1,0,0,1,10
NA,07,1,NA,0,0,NA,0,0.0,NA,NA,4,0,393277602397290496,NA,hsubib,Thu Oct 24 07:27:41 +0000 2013,0,0,0,1,10
NA,09,1,NA,0,0,NA,0,0.0,NA,NA,3,0,392942488878448640,NA,hsubib,Wed Oct 23 09:16:04 +0000 2013,1,0,0,1,10
NA,07,1,NA,0,0,NA,0,0.0,NA,NA,3,0,392914538716090368,NA,hsubib,Wed Oct 23 07:25:00 +0000 2013,1,0,0,1,10
NA,07,1,NA,0,0,NA,0,0.0,NA,NA,1,0,392189620684726272,NA,hsubib,Mon Oct 21 07:24:26 +0000 2013,1,0,0,1,10
NA,07,1,NA,0,0,NA,0,0.0,NA,NA,5,0,391110523065868288,NA,hsubib,Fri Oct 18 07:56:29 +0000 2013,1,0,0,1,10
NA,07,1,NA,0,0,NA,0,0.0,NA,NA,4,0,390741047392739329,NA,hsubib,Thu Oct 17 07:28:19 +0000 2013,1,0,0,1,10
NA,09,1,NA,0,0,NA,0,0.0,NA,NA,3,0,390406025276170240,NA,hsubib,Wed Oct 16 09:17:04 +0000 2013,1,0,0,0,10
NA,08,1,NA,0,0,NA,0,0.0,NA,NA,3,0,390395130655420416,NA,hsubib,Wed Oct 16 08:33:47 +0000 2013,1,0,0,1,10
NA,07,1,NA,0,1,NA,0,0.5,NA,NA,2,0,390011529149435905,NA,hsubib,Tue Oct 15 07:09:29 +0000 2013,1,0,0,1,10
